id,trigger,conditions,script,text,options,notes
#Apply for transponder-off permission,,,,,,
TOffAcc_AskForTOffAccOpt,PopulateOptions,"$isPerson
TOffAcc personCanGiveTOffAcc
!TOffAcc hasFactionTOffAcc
!$faction.TOffAcc_Unavailable",,,"20:TOffAcc_askForTOffAcc:""我想申请 $theFaction 的特别舰队备案""",
TOffAcc_RegisnTOffAccOpt,PopulateOptions,"$isPerson
TOffAcc personCanGiveTOffAcc
TOffAcc hasFactionTOffAcc
!$faction.TOffAcc_Unavailable",,,"20:TOffAcc_ResignTOffAcc:""我想撤销 $theFaction 的特别舰队备案""",
TOffAcc_HostileNo,DialogOptionSelected,"$option == TOffAcc_askForTOffAcc
$faction.isHostile score:100","SetEnabled TOffAcc_AskForTOffAcc false
FireBest TOffAccTextRejectHostile",,,
TOffAcc_doesNotMeetCriteria,DialogOptionSelected,"$option == TOffAcc_askForTOffAcc
!TOffAcc playerMeetsCriteria","SetEnabled TOffAcc_AskForTOffAcc false
FireBest TOffAccTextUnsuited
TOffAcc printRequirements",,,
TOffAcc_meetsCriteria,DialogOptionSelected,"$option == TOffAcc_askForTOffAcc
TOffAcc playerMeetsCriteria",FireBest TOffAccTextSuitedPart1,,0:TOffAcc_continueMeetsReq:继续,
TOffAcc_meetsCriteria2,DialogOptionSelected,$option == TOffAcc_continueMeetsReq,"TOffAcc printInfo
FireBest TOffAccTextSuitedPart2",,"0:TOffAcc_accept:确认申请 $faction 的特别舰队备案
1:TOffAcc_cancel:""我可能还没有完全做好准备。""",
TOffAcc_accept,DialogOptionSelected,$option == TOffAcc_accept,"FireBest TOffAccTextWelcomePart1
TOffAcc accept
TOffAcc_AddTOffPermissionFaction
FireBest TOffAccTextWelcomePart2
FireAll PopulateOptions",,,
TOffAcc_cancel,DialogOptionSelected,$option == TOffAcc_cancel,"FireBest TOffAccTextChangeMind
FireAll PopulateOptions",,,
TOffAcc_resignShowOptions,DialogOptionSelected,$option == TOffAcc_ResignTOffAcc,FireBest TOffAccResignAskToConfirm,,"0:TOffAcc_resignConfirm:""是的，我确定。""
1:TOffAcc_resignCancel:""抱歉，我得再考虑一下。""",
TOffAcc_resignConfirm,DialogOptionSelected,$option == TOffAcc_resignConfirm,"FireBest TOffAccResignConfirmed
TOffAcc resign
TOffAcc_RemoveTOffPermissionFaction
FireAll PopulateOptions",,,
TOffAcc_resignCancel,DialogOptionSelected,$option == TOffAcc_resignCancel,"FireBest TOffAccResignCancelled
FireAll PopulateOptions",,,
,,,,,,
#Default text,,,,,,
TOffAccTextRejectHostile_default,TOffAccTextRejectHostile,,,"""这是在开玩笑吗？如果你真的是那个人，那么你已被列在好几份 $faction 的通缉名单上了！""",,
TOffAccTextUnsuited_default,TOffAccTextUnsuited,,,"""很抱歉，你不符合我们的特别舰队备案标准。""",,
TOffAccTextSuitedPart1_default,TOffAccTextSuitedPart1,,,"""嗯，好的。你的确是个合适的人选。

但成为 $theFaction 的特别舰队是个非常重大的决定。这意味着你虽然无义务与 $theFaction 的敌人作战，但必须接受 $theFaction 随时可能向你发布的任务并尽力完成。

你也可随时撤销这一备案，但这样做绝不会让你赢得任何朋友。""",,
TOffAccTextSuitedPart2_default,TOffAccTextSuitedPart2,,,"""那么，怎么样？还想备案吗？""",,
TOffAccTextWelcomePart1_default,TOffAccTextWelcomePart1,,,"""太好了，我们很期待你的表现！""",,
TOffAccTextWelcomePart2_default,TOffAccTextWelcomePart2,,,"""我还能为您做些什么？""",,
TOffAccTextChangeMind_default,TOffAccTextChangeMind,,,"""好吧，并不是所有人都有决心作为 $theFaction 在暗处的利剑。

那么，我还能为你做些什么？""",,
TOffAccResignAskToConfirm_default,TOffAccResignAskToConfirm,,,"""你确定吗？$theFaction 信赖可靠的人。特殊舰队的职责固然沉重，但我相信你一定能够继续肩负。""",,
TOffAccResignConfirmed_default,TOffAccResignConfirmed,,,"""看来你是拿定主意了。行，至少你还是有礼貌地亲自告知我们你放弃了。""",,
TOffAccResignCancelled_default,TOffAccResignCancelled,,,"""明智的决定。你这种人值得为我们继续效力。""",,
